City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,tura,25.5198,90.2201,21.48,27,0,1.97,IN,1710439135
197,phumi veal sre,10.9808,104.7783,27.05,72,96,4.61,KH,1710439135
198,kharan,28.5833,65.4167,16.26,35,0,4.85,PK,1710439135
199,purpe,64.4803,76.6897,-19.48,100,82,3.89,RU,1710439135
200,chehalis,46.662,-122.964,9.25,100,40,2.06,US,1710439135
201,tsiombe,-25.3,45.4833,24.24,86,90,1.94,MG,1710438943
202,marondera,-18.1853,31.5519,17.5,86,96,1.13,ZW,1710439135
203,tolanaro,-25.0319,46.9987,22.04,94,75,5.14,MG,1710439136
204,troitsko-pechorsk,62.7084,56.1964,-17.96,100,73,1.54,RU,1710439136
205,kerikeri,-35.2268,173.9474,13.84,92,30,2.95,NZ,1710439136
206,souillac,-20.5167,57.5167,27.21,83,75,6.69,MU,1710439136
207,derbent,42.0678,48.2899,6.64,91,100,0.3,RU,1710438546
208,jiagedaqi,50.4167,124.1167,-5.77,85,72,3.4,CN,1710439136
209,bengkulu,-3.8004,102.2655,25.42,88,100,2.13,ID,1710439136
210,hasaki,35.7333,140.8333,5.22,53,1,4.62,JP,1710439136
211,abdurahmoni jomi,37.9464,68.8088,7.16,76,20,2.0,TJ,1710439137
212,hermanus,-34.4187,19.2345,19.33,71,74,5.04,ZA,1710439137
213,kuybyshev,55.4475,78.3218,-10.95,95,99,4.18,RU,1710439137
214,chernyshevskiy,63.0128,112.4714,-30.83,100,83,1.2,RU,1710439137
215,weatherford,32.7593,-97.7972,25.59,74,100,6.08,US,1710439137
216,trinidad,-14.8333,-64.9,33.99,66,40,3.09,BO,1710439137
217,saint-philippe,-21.3585,55.7679,25.77,87,83,6.04,RE,1710439137
218,banda aceh,5.5577,95.3222,26.17,82,77,3.92,ID,1710439137
219,punta cana,18.5818,-68.4043,28.87,65,40,7.2,DO,1710438904
220,talakan,50.3167,130.3667,-11.55,96,97,1.69,RU,1710439138
221,kingisepp,59.3733,28.6134,3.55,83,96,6.29,RU,1710439138
222,haiku-pauwela,20.9219,-156.3051,21.13,94,69,0.89,US,1710439138
223,ngara,-2.5122,30.6558,15.41,89,71,0.73,TZ,1710439138
224,vredendal,-31.6683,18.5012,19.95,51,81,5.17,ZA,1710439138
225,el calafate,-50.3408,-72.2768,4.78,95,100,2.3,AR,1710439138
226,ixmiquilpan,20.4833,-99.2333,28.29,14,28,1.04,MX,1710439139
227,ushuaia,-54.8,-68.3,8.81,49,40,2.57,AR,1710439139
228,guerrero negro,27.9769,-114.0611,17.1,58,79,5.79,MX,1710439139
229,klaksvik,62.2266,-6.589,2.51,77,100,8.93,FO,1710438914
230,thinadhoo,0.5333,72.9333,28.36,71,9,3.67,MV,1710439139
231,shar,49.5886,81.0453,-15.53,98,62,2.15,KZ,1710439139
232,almyros,39.1822,22.7594,14.7,63,75,4.12,GR,1710439139
233,susuman,62.7833,148.1667,-22.79,99,100,1.79,RU,1710439139
234,la ronge,55.1001,-105.2842,-5.88,86,100,2.06,CA,1710439140
235,vila velha,-20.3297,-40.2925,30.97,78,40,5.14,BR,1710439100
236,nguigmi,14.2495,13.1092,30.86,21,85,4.52,NE,1710439140
237,rio grande,-32.035,-52.0986,32.06,53,4,4.92,BR,1710439140
238,taro,-8.3862,115.28,24.0,100,100,1.73,ID,1710439140
239,noosa heads,-26.3833,153.15,20.74,83,70,4.42,AU,1710439140
240,tshabong,-26.05,22.45,26.1,10,1,4.87,BW,1710439141
241,zinjibar,13.1287,45.3807,26.1,81,25,5.9,YE,1710439141
242,patrocinio,-18.9439,-46.9925,29.89,49,31,0.93,BR,1710439141
243,vernon,50.2581,-119.2691,6.53,61,30,1.03,CA,1710439141
244,buin,-33.7333,-70.75,30.82,15,0,2.94,CL,1710439141
245,aykhal,66.0,111.5,-29.66,100,64,2.37,RU,1710439141
246,lazaro cardenas,17.9583,-102.2,27.95,51,28,3.44,MX,1710439142
247,kutum,14.2,24.6667,29.72,12,100,4.94,SD,1710439142
248,sevastopol,44.6,33.5333,8.89,61,43,1.65,UA,1710438733
249,alupka,44.4167,34.05,9.14,88,70,1.24,UA,1710439142
250,puerto baquerizo moreno,-0.9,-89.6,25.55,100,100,1.03,EC,1710439142
251,matca,45.85,27.5333,5.27,71,100,5.11,RO,1710439142
252,magumeri,12.1131,12.8274,33.46,10,100,3.65,NG,1710439142
253,carutapera,-1.195,-46.02,29.1,74,100,3.77,BR,1710439142
254,weno,7.4515,151.8468,27.84,79,100,7.08,FM,1710439143
255,usinsk,65.9939,57.5281,-15.22,96,92,5.04,RU,1710439143
256,testour,36.5513,9.4431,17.24,71,0,2.34,TN,1710439143
257,ormond-by-the-sea,29.3491,-81.0665,26.17,54,0,3.6,US,1710439143
258,calama,-22.4667,-68.9333,28.27,15,0,9.77,CL,1710439143
259,portland,45.5234,-122.6762,11.66,74,21,2.24,US,1710439001
260,santiago de cao,-7.9589,-79.2392,24.07,78,68,5.66,PE,1710439143
261,waingapu,-9.6567,120.2641,26.13,89,100,6.41,ID,1710439143
262,atar,20.5169,-13.0499,33.83,9,0,5.91,MR,1710439144
263,aydarken,39.9443,71.3429,-8.5,63,51,3.88,KG,1710439144
264,soure,-0.7167,-48.5233,28.92,79,86,4.55,BR,1710439144
265,bissau,11.8636,-15.5977,37.06,32,41,2.06,GW,1710439144
266,bandon,51.7469,-8.7425,11.77,93,100,8.36,IE,1710438957
267,santa ana,33.7456,-117.8678,19.96,20,11,11.18,US,1710439144
268,semenivka,52.1783,32.5818,2.63,74,56,3.26,UA,1710439144
269,castillos,-34.1667,-53.8333,32.84,45,95,1.72,UY,1710439144
270,thompson,55.7435,-97.8558,-7.91,79,100,1.54,CA,1710439145
271,termoli,41.9888,14.9895,11.82,66,39,1.37,IT,1710438965
272,lefkada,38.8275,20.7019,14.95,72,20,6.69,GR,1710438979
273,palmares do sul,-30.2578,-50.5097,34.04,39,15,0.74,BR,1710439145
274,faya-largeau,17.9257,19.1043,31.97,7,94,4.58,TD,1710439145
275,faranah,10.0404,-10.7434,38.89,12,65,2.72,GN,1710439145
276,tofol,5.3248,163.0078,28.18,78,99,8.87,FM,1710439145
277,jaisalmer,26.9147,70.9181,23.93,19,0,3.27,IN,1710439030
278,priozersk,61.0393,30.1291,4.49,85,100,8.87,RU,1710439145
279,cromwell,41.5951,-72.6454,22.59,36,63,0.45,US,1710439146
280,el granada,37.5027,-122.4694,17.33,33,0,6.17,US,1710439146
281,vilyuchinsk,52.9306,158.4028,0.15,93,100,1.0,RU,1710439146
282,langfang,39.5097,116.6947,11.96,34,0,4.55,CN,1710439146
283,flying fish cove,-10.4217,105.6791,25.82,83,75,3.6,CX,1710439146
284,aasiaat,68.7098,-52.8699,-14.44,90,100,0.29,GL,1710439146
285,mahina,-17.5065,-149.489,28.87,70,0,4.12,PF,1710439146
286,livadeia,38.435,22.8739,13.97,78,30,0.49,GR,1710438975
287,kenai,60.5544,-151.2583,-7.14,95,89,1.5,US,1710439147
288,saipan,15.1355,145.701,26.35,74,100,8.59,MP,1710439147
289,kani keli,-12.9536,45.1033,28.59,76,47,4.94,YT,1710439147
290,bonthe,7.5264,-12.505,28.46,72,55,5.71,SL,1710438892
291,isafjordur,66.0755,-23.124,-1.98,64,75,8.23,IS,1710439147
292,xinyuan,37.3,99.0,-3.03,60,100,0.56,CN,1710439147
293,usogorsk,63.4106,48.6872,-0.74,96,100,4.44,RU,1710439147
294,pacific grove,36.6177,-121.9166,17.16,33,0,3.13,US,1710438946
295,salinas,36.6777,-121.6555,17.78,28,0,4.06,US,1710439148
296,rexburg,43.826,-111.7897,5.3,81,40,3.14,US,1710439148
297,xai-xai,-25.0519,33.6442,24.62,86,95,7.46,MZ,1710439148
298,ancud,-41.8697,-73.8203,13.93,62,76,2.88,CL,1710439148
299,remire-montjoly,4.9167,-52.2667,31.02,66,75,6.69,GF,1710439148
300,tateyama,34.9833,139.8667,10.05,68,4,5.28,JP,1710439148
301,namsos,64.4662,11.4957,5.03,87,75,8.75,NO,1710439148
302,hamilton,39.1834,-84.5333,22.35,68,100,6.17,US,1710439149
303,roma,43.2128,-75.4557,16.71,41,56,0.89,US,1710438788
304,tanout,14.9709,8.8879,34.3,10,61,4.75,NE,1710439149
305,mococa,-21.4678,-47.0047,36.42,29,9,0.9,BR,1710439149
306,isangel,-19.55,169.2667,26.14,91,98,2.58,VU,1710439149
307,tamanrasset,22.785,5.5228,23.95,8,0,8.75,DZ,1710439149
308,paphos,34.7667,32.4167,15.88,67,40,2.06,CY,1710439149
309,lau,9.2167,11.2833,36.98,16,83,1.79,NG,1710439149
310,margate,51.3813,1.3862,13.26,76,89,3.13,GB,1710439150
311,kuacjok,8.3002,27.9903,33.66,28,69,2.7,SS,1710439150
312,natal,-5.795,-35.2094,32.36,66,40,5.14,BR,1710439150
313,fale old settlement,-9.3852,-171.2468,29.0,77,14,4.22,TK,1710439150
314,chokwe,-24.5333,32.9833,22.86,91,100,4.3,MZ,1710439150
315,borzya,50.3833,116.5167,-16.75,93,14,2.26,RU,1710439150
316,georgetown,5.4112,100.3354,29.97,79,20,0.51,MY,1710439150
317,an nuhud,12.7,28.4333,32.74,10,59,2.36,SD,1710439150
318,paita,-5.0892,-81.1144,27.8,63,41,5.7,PE,1710439151
319,fort st. john,56.2499,-120.8529,4.94,60,75,5.14,CA,1710439151
320,suva,-18.1416,178.4415,24.71,100,75,0.0,FJ,1710438908
321,kargasok,59.0556,80.8572,-13.35,97,99,1.79,RU,1710439151
322,labytnangi,66.6572,66.4183,-24.0,96,23,1.98,RU,1710439151
323,villa gesell,-37.2639,-56.973,25.59,65,14,8.63,AR,1710439058
324,kapa'a,22.0752,-159.319,22.99,78,69,1.34,US,1710439151
325,volchikha,52.0333,80.3833,-11.43,97,93,3.7,RU,1710439152
326,daru,-9.0763,143.2092,25.17,90,98,3.35,PG,1710439152
327,atafu village,-8.5421,-172.5159,29.22,74,12,5.42,TK,1710439152
328,fort bragg,35.139,-79.006,27.58,28,1,1.79,US,1710439152
329,nueva loja,0.0847,-76.8828,25.01,94,75,1.54,EC,1710439152
330,karpenisi,38.9167,21.7833,3.9,80,45,0.45,GR,1710439152
331,al hudaydah,14.7978,42.9545,27.63,74,8,7.31,YE,1710439152
332,kristiansund,63.1115,7.732,6.36,70,75,14.4,NO,1710439152
333,vorkuta,67.5,64.0,-25.22,100,73,2.06,RU,1710438904
334,sinan,34.8262,126.1086,2.06,71,0,2.39,KR,1710439153
335,higuera de zaragoza,25.95,-109.2833,26.02,39,23,6.67,MX,1710439153
336,nicoya,10.1483,-85.452,37.59,29,6,2.36,CR,1710439153
337,mbaiki,3.8678,17.9892,25.95,67,98,0.93,CF,1710439153
338,bojia,26.4672,111.9681,13.2,97,87,1.47,CN,1710439153
339,dul'durga,50.6761,113.5931,-8.53,79,67,1.87,RU,1710439153
340,keflavik,64.0049,-22.5624,2.95,64,100,6.69,IS,1710439154
341,san pedro,14.35,121.0167,26.86,79,20,4.47,PH,1710439154
342,muisne,0.6,-80.0333,28.11,78,64,4.59,EC,1710439154
343,marsabit,2.3284,37.9899,26.7,30,21,4.46,KE,1710439154
344,sungjibaegam,41.2428,128.7989,-1.84,50,23,6.19,KP,1710439154
345,nikko,36.75,139.6167,-1.11,71,5,3.48,JP,1710439154
346,callao,-12.0667,-77.15,24.16,73,40,4.63,PE,1710439154
347,labrador city,52.9463,-66.9114,0.95,86,100,3.09,CA,1710439155
348,la passe,45.5549,-0.8967,18.13,78,39,1.75,FR,1710438912
349,isabela,6.7085,121.9711,25.55,67,100,1.23,PH,1710439155
350,mandalgovi,45.7625,106.2708,-3.7,77,35,5.93,MN,1710439155
351,mweka,-4.85,21.5667,24.51,73,69,0.59,CD,1710439155
352,nogliki,51.8333,143.1667,-14.25,90,57,2.68,RU,1710439155
353,coquimbo,-29.9533,-71.3436,19.85,68,0,6.17,CL,1710438859
354,rongelap,11.1635,166.8941,26.33,77,97,7.78,MH,1710439155
355,newman,37.3138,-121.0208,14.57,43,0,7.15,US,1710439156
356,sassandra,4.95,-6.0833,28.77,80,94,4.87,CI,1710439156
357,ebon,4.582,168.6964,27.99,82,100,9.14,MH,1710439156
358,kuraymah,18.55,31.85,33.05,8,20,7.33,SD,1710439156
359,buala,-8.145,159.5921,27.21,84,100,1.77,SB,1710439156
360,dudinka,69.4058,86.1778,-16.88,96,99,5.7,RU,1710439156
361,malanje,-9.5402,16.341,21.09,92,22,1.35,AO,1710439156
362,quellon,-43.1167,-73.6167,14.06,64,72,3.63,CL,1710439156
363,chom thong,18.4174,98.6743,26.16,39,41,1.38,TH,1710439157
364,hongjiang,27.11,109.9956,13.92,96,92,0.82,CN,1710439157
